"Step","Group: mala-predict-repair - Mean Cost","Group: mala-predict-repair - Mean Cost__MIN","Group: mala-predict-repair - Mean Cost__MAX","Group: rmh-predict-repair - Mean Cost","Group: rmh-predict-repair - Mean Cost__MIN","Group: rmh-predict-repair - Mean Cost__MAX"
"0","123.42144584655762","110.1103286743164","130.90110778808594","123.42144584655762","110.1103286743164","130.90110778808594"
"1","100.90754890441895","97.22126007080078","108.76712799072266","109.37082481384277","107.6846923828125","112.20679473876953"
"2","91.91512489318848","89.13141632080078","95.3715591430664","108.57231903076172","106.93647003173828","111.49951171875"
"3","87.65607070922852","85.8783950805664","91.1814956665039","106.36773109436035","103.26339721679688","108.0949478149414"
"4","81.99127388000488","76.09637451171875","86.59648132324219","104.85190200805664","101.46353149414062","106.34432983398438"
"5","77.81892395019531","70.07086181640625","84.59783172607422","104.74384117126465","101.90694427490234","106.52506256103516"
"6","75.01157569885254","65.33654022216797","82.4750747680664","103.60627555847168","99.56388092041016","105.51402282714844"
"7","72.57379055023193","62.60995101928711","81.01921844482422","102.73257255554199","98.59003448486328","105.51402282714844"
"8","69.19883918762207","57.85129928588867","80.0809555053711","101.64759063720703","97.46196746826172","105.20636749267578"
"9","66.4840841293335","56.47719955444336","76.57662200927734","99.99735641479492","95.2117919921875","103.4523696899414"
"10","64.06064414978027","55.6772346496582","74.54048156738281","99.32071685791016","95.2117919921875","102.49227905273438"
"11","61.05857753753662","52.794105529785156","72.70040893554688","98.32377624511719","94.85247039794922","100.27874755859375"
"12","58.3660831451416","50.07850646972656","68.752197265625","97.69126510620117","94.55460357666016","99.38798522949219"
"13","55.942057609558105","45.00017547607422","69.4474105834961","97.1335620880127","94.98270416259766","98.91016387939453"
"14","53.66692352294922","44.22174835205078","67.1940689086914","96.3942928314209","93.4712905883789","98.91016387939453"
"15","51.52772617340088","41.881874084472656","65.74745178222656","95.83186531066895","92.97025299072266","98.4609146118164"
"16","48.41701126098633","37.53582763671875","61.962894439697266","94.50782775878906","91.16677856445312","98.4609146118164"
"17","45.575435638427734","33.51640701293945","61.66838836669922","94.07916259765625","90.5787353515625","97.80735778808594"
"18","43.21088743209839","30.877058029174805","58.71380615234375","92.7292652130127","89.16486358642578","97.09703063964844"
"19","40.75982141494751","29.581937789916992","56.143680572509766","92.67578125","89.43589782714844","96.51103210449219"
"20","38.924742221832275","29.00803565979004","53.76059341430664","91.86065864562988","88.6216812133789","96.09480285644531"
"21","36.98943614959717","28.740169525146484","53.220340728759766","91.18206787109375","86.91033935546875","96.13037109375"
"22","34.457401275634766","27.887237548828125","49.99454116821289","89.23110961914062","84.99090576171875","92.09681701660156"
"23","33.362834453582764","27.230262756347656","48.94807434082031","88.42416954040527","84.85760498046875","91.81359100341797"
"24","31.34042739868164","25.5904483795166","45.68150329589844","87.48785018920898","84.9333267211914","91.90032958984375"
"25","29.8271427154541","23.581085205078125","44.269775390625","86.99016189575195","84.9333267211914","91.2762680053711"
"26","27.92964744567871","22.002782821655273","40.46807098388672","86.36684989929199","83.8576431274414","90.49925231933594"
"27","26.726988792419434","21.54227066040039","37.71510696411133","85.83412170410156","82.77777099609375","90.14866638183594"
"28","25.86129379272461","20.744609832763672","35.989234924316406","85.15242195129395","81.60838317871094","90.07275390625"
"29","24.45600175857544","18.41607666015625","34.163936614990234","84.36958503723145","77.82969665527344","90.86378479003906"
"30","23.30556583404541","17.33087921142578","32.364219665527344","83.49735832214355","76.74124145507812","90.86378479003906"
"31","22.858591556549072","17.33087921142578","29.605485916137695","82.37260627746582","75.21250915527344","88.31103515625"
"32","22.477307319641113","17.82421875","27.48625373840332","82.36134719848633","75.6661376953125","87.5673828125"
"33","21.30145025253296","17.82421875","25.27098846435547","81.81645774841309","75.57025146484375","87.89977264404297"
"34","20.89189338684082","17.685644149780273","24.5526123046875","81.1982593536377","74.46526336669922","88.47340393066406"
"35","19.808443546295166","16.623167037963867","22.257837295532227","80.36593055725098","72.67361450195312","88.29790496826172"
"36","18.997740268707275","16.307310104370117","21.5777530670166","80.2544116973877","72.37407684326172","88.31388854980469"
"37","18.970273971557617","17.158212661743164","20.752967834472656","80.0168685913086","71.97127532958984","88.35987091064453"
"38","18.75008249282837","17.495929718017578","19.81427001953125","79.6176643371582","71.295166015625","87.73668670654297"
"39","18.36872148513794","17.522016525268555","19.00090980529785","79.12353324890137","70.12334442138672","86.85710906982422"
"40","17.762017250061035","16.9732723236084","18.54633140563965","77.79476737976074","68.15522766113281","85.76105499267578"
"41","17.455004692077637","17.092924118041992","17.69256019592285","77.1380558013916","67.91182708740234","84.84735870361328"
"42","16.8382511138916","16.636362075805664","17.125043869018555","75.84469795227051","65.83968353271484","83.79277038574219"
"43","16.892377853393555","16.16443634033203","17.4420166015625","76.06230735778809","66.50393676757812","83.21989440917969"
"44","16.62333607673645","15.160462379455566","18.085052490234375","75.89189147949219","67.33537292480469","83.21989440917969"
"45","16.200345993041992","14.0982666015625","17.60333251953125","75.82227516174316","67.17150115966797","83.83845520019531"
"46","15.932077169418335","14.371135711669922","17.68878173828125","75.27003860473633","66.89407348632812","82.99623107910156"
"47","15.479405641555786","14.222311973571777","17.199724197387695","75.34659767150879","67.75933074951172","83.31637573242188"
"48","14.963953018188477","14.067949295043945","16.141338348388672","74.9961051940918","66.9946517944336","83.27482604980469"
"49","14.964448928833008","13.595845222473145","16.63344955444336","74.9814224243164","67.21659851074219","83.27482604980469"
"50","14.433341026306152","12.555351257324219","15.659011840820312","73.83665084838867","66.0082778930664","81.29249572753906"
"51","14.350999355316162","11.98873519897461","16.34632682800293","73.42989158630371","64.96663665771484","81.29249572753906"
"52","13.729271411895752","12.523168563842773","14.937641143798828","73.12313175201416","63.97507858276367","81.29249572753906"
"53","13.663597583770752","12.631693840026855","14.687261581420898","72.4143009185791","63.08348846435547","81.29249572753906"
"54","13.924327373504639","13.034374237060547","14.577373504638672","72.74791717529297","63.08348846435547","81.10750579833984"
"55","13.952516317367554","13.616700172424316","14.245197296142578","72.54440593719482","63.24135208129883","80.93418884277344"
"56","13.613905191421509","12.609920501708984","14.260246276855469","71.76445960998535","61.893943786621094","79.16181182861328"
"57","13.907203674316406","12.922664642333984","14.636125564575195","71.74268531799316","61.79853057861328","80.49585723876953"
"58","13.834773063659668","12.795524597167969","14.446467399597168","71.5268030166626","60.39090347290039","81.40116119384766"
"59","13.304632186889648","12.869884490966797","14.049495697021484","68.49364471435547","61.11521911621094","75.30531311035156"
"60","13.89510726928711","13.53989028930664","14.250324249267578","61.11521911621094","61.11521911621094","61.11521911621094"
