"Step","Group: rmh-predict-repair - Mean Cost","Group: rmh-predict-repair - Mean Cost__MIN","Group: rmh-predict-repair - Mean Cost__MAX","Group: mala-predict-repair - Mean Cost","Group: mala-predict-repair - Mean Cost__MIN","Group: mala-predict-repair - Mean Cost__MAX"
"25","-2.4545446634292603","-2.7513439655303955","-2.3110098838806152","-2.4577410221099854","-2.581995725631714","-2.368115186691284"
"26","-2.5050776600837708","-2.707050085067749","-2.391833782196045","-2.4112667441368103","-2.4382033348083496","-2.3460447788238525"
"27","-2.4298675656318665","-2.4729318618774414","-2.3992528915405273","-2.3149043917655945","-2.527444362640381","-2.130253791809082"
"28","-2.4020442366600037","-2.5596840381622314","-2.2488603591918945","-2.487542748451233","-2.659989833831787","-2.0712926387786865"
"29","-2.4147937297821045","-2.6543538570404053","-2.0211181640625","-2.4708967208862305","-2.6569597721099854","-2.247945547103882"
"30","-2.4504261016845703","-2.5732171535491943","-2.2210769653320312","-2.341755449771881","-2.484649419784546","-2.1224308013916016"
"31","-2.4218353629112244","-2.61116623878479","-2.1617157459259033","-2.34649795293808","-2.6021456718444824","-2.0837161540985107"
"32","-2.412532866001129","-2.4249141216278076","-2.4002740383148193","-2.2631986141204834","-2.443774938583374","-2.1821298599243164"
"33","-2.495243012905121","-2.6097795963287354","-2.2821028232574463","-2.4152852296829224","-2.5767061710357666","-2.170710563659668"
"34","-2.568287432193756","-2.649055004119873","-2.4449849128723145","-2.315954804420471","-2.532198429107666","-2.0681076049804688"
"35","-2.508158326148987","-2.719968318939209","-2.290687322616577","-2.4703291058540344","-2.517869472503662","-2.399543046951294"
"36","-2.561238408088684","-2.7386162281036377","-2.3738014698028564","-2.2853210866451263","-2.5452771186828613","-1.9666777849197388"
"37","-2.5798779726028442","-2.721712589263916","-2.3573825359344482","-2.4140292406082153","-2.672987222671509","-2.221425771713257"
"38","-2.506612002849579","-2.6143016815185547","-2.368020534515381","-2.3234174251556396","-2.571101665496826","-2.203038215637207"
"39","-2.5993683338165283","-2.687030553817749","-2.399724006652832","-2.3481238186359406","-2.7180235385894775","-1.7733837366104126"
"40","-2.5237768292427063","-2.683040142059326","-2.367258071899414","-2.5961604714393616","-2.7507171630859375","-2.386770486831665"
"41","-2.4260308146476746","-2.6679606437683105","-2.2832984924316406","-2.3194009959697723","-2.6920599937438965","-1.9205440282821655"
"42","-2.3962802290916443","-2.6401445865631104","-1.9425373077392578","-2.34333673119545","-2.792668104171753","-1.9528011083602905"
"43","-2.495611071586609","-2.6401445865631104","-2.2912638187408447","-2.491006016731262","-2.622058153152466","-2.415499448776245"
"44","-2.5076140761375427","-2.681626558303833","-2.2316536903381348","-2.5008403658866882","-2.6825015544891357","-2.351060390472412"
"45","-2.516354501247406","-2.6158056259155273","-2.3340866565704346","-2.572273373603821","-2.7210497856140137","-2.3624794483184814"
"46","-2.4914920926094055","-2.5725455284118652","-2.396430015563965","-2.4886948466300964","-2.6183853149414062","-2.2285633087158203"
"47","-2.4424014687538147","-2.548783302307129","-2.2750484943389893","-2.424479365348816","-2.6049509048461914","-2.2264902591705322"
"48","-2.5106818079948425","-2.561028480529785","-2.4231319427490234","-2.428617298603058","-2.62471866607666","-2.1043505668640137"
"49","-2.461742341518402","-2.553901433944702","-2.4125890731811523","-2.470770239830017","-2.5986223220825195","-2.3835268020629883"
"50","-2.446162521839142","-2.5705630779266357","-2.372788429260254","-2.439056694507599","-2.591797351837158","-2.307410478591919"
"51","-2.4464520812034607","-2.4891726970672607","-2.3648223876953125","-2.453203797340393","-2.5657973289489746","-2.299525022506714"
"52","-2.476876735687256","-2.593277931213379","-2.360883951187134","-2.5459644198417664","-2.7239880561828613","-2.296011447906494"
"53","-2.50192654132843","-2.6204845905303955","-2.425604820251465","-2.438423752784729","-2.630546808242798","-2.3613064289093018"
"54","-2.5123128294944763","-2.6690218448638916","-2.375049352645874","-2.5683646202087402","-2.7469537258148193","-2.3459038734436035"
"55","-2.4240877628326416","-2.7598533630371094","-2.0916411876678467","-2.331595480442047","-2.594585418701172","-2.1114044189453125"
"56","-2.560320794582367","-2.757316827774048","-2.4410972595214844","-2.45421439409256","-2.7320048809051514","-2.2900328636169434"
"57","-2.4982277750968933","-2.5994277000427246","-2.3377602100372314","-2.3761550188064575","-2.69670033454895","-2.083625316619873"
"58","-2.532570779323578","-2.6162118911743164","-2.4931743144989014","-2.427331268787384","-2.6579666137695312","-2.151604175567627"
"59","-2.34823477268219","-2.6050145626068115","-2.1229710578918457","-2.3992002308368683","-2.667652130126953","-1.9628499746322632"
"60","-2.425262153148651","-2.5535571575164795","-2.1992273330688477","-2.4573135375976562","-2.7324817180633545","-2.177687406539917"
"61","-2.576412618160248","-2.646592140197754","-2.5076756477355957","-2.273602545261383","-2.4249680042266846","-1.9121720790863037"
"62","-2.5677124857902527","-2.7719197273254395","-2.351811647415161","-2.401371657848358","-2.5609636306762695","-2.2484543323516846"
"63","-2.5124229788780212","-2.6602938175201416","-2.384265422821045","-2.350908637046814","-2.4623448848724365","-2.244325876235962"
"64","-2.368450880050659","-2.610471725463867","-2.1878747940063477","-2.3086774945259094","-2.7346770763397217","-1.9398841857910156"
"65","-2.341161370277405","-2.468615770339966","-2.1962502002716064","-2.3718190789222717","-2.698160409927368","-2.1959900856018066"
"66","-2.475556194782257","-2.6050407886505127","-2.214050769805908","-2.3879669904708862","-2.7947137355804443","-2.1332805156707764"
"67","-2.55136638879776","-2.616194486618042","-2.3897764682769775","-2.210865765810013","-2.370107889175415","-1.961112141609192"
"68","-2.5221798419952393","-2.6517651081085205","-2.2471964359283447","-2.501297652721405","-2.61908221244812","-2.283881902694702"
"69","-2.55865079164505","-2.6517651081085205","-2.3776063919067383","-2.4307098388671875","-2.5731425285339355","-2.2594330310821533"
"70","-2.513579487800598","-2.777249574661255","-2.2774715423583984","-2.464110493659973","-2.7653515338897705","-2.1692521572113037"
"71","-2.476457118988037","-2.5955541133880615","-2.3017656803131104","-2.629064977169037","-2.7381486892700195","-2.4890072345733643"
"72","-2.519293248653412","-2.6270523071289062","-2.394752025604248","-2.4437379837036133","-2.736309766769409","-2.125011920928955"
"73","-2.5307477712631226","-2.636023998260498","-2.2726194858551025","-2.4289648234844208","-2.7036852836608887","-1.9674471616744995"
"74","-2.5823894143104553","-2.747144937515259","-2.355679512023926","-2.5751638412475586","-2.7645602226257324","-2.2998220920562744"
"75","-2.533085584640503","-2.7828118801116943","-2.1160619258880615","-2.577616572380066","-2.7307145595550537","-2.2636239528656006"
"76","-2.5855114459991455","-2.70017409324646","-2.3125741481781006","-2.4581146240234375","-2.5302398204803467","-2.342834711074829"
"77","-2.6078901886940002","-2.802612781524658","-2.380302667617798","-2.5507965683937073","-2.633610725402832","-2.457967758178711"
"78","-2.497391700744629","-2.598500967025757","-2.3441901206970215","-2.4813048243522644","-2.548811197280884","-2.4113354682922363"
"79","-2.5722304582595825","-2.6305246353149414","-2.4264776706695557","-2.410459041595459","-2.504835367202759","-2.3428854942321777"
"80","-2.539267122745514","-2.6723899841308594","-2.435184955596924","-2.3556721210479736","-2.46281099319458","-2.259702444076538"
"81","-2.59419184923172","-2.6723899841308594","-2.537259817123413","-2.3078924417495728","-2.4310731887817383","-2.181910276412964"
"82","-2.508124351501465","-2.6051411628723145","-2.3210134506225586","-2.2676193714141846","-2.4025261402130127","-2.1292498111724854"
"83","-2.498553514480591","-2.6117148399353027","-2.2743546962738037","-2.240904748439789","-2.390913248062134","-2.090386152267456"
"84","-2.5233787894248962","-2.6638195514678955","-2.2965617179870605","-2.31420761346817","-2.3944876194000244","-2.227741241455078"
"85","-2.477814733982086","-2.6289987564086914","-2.31839656829834","-2.2241315245628357","-2.3555192947387695","-2.03208065032959"
"86","-2.5870327949523926","-2.669904947280884","-2.5315001010894775","-2.2106256783008575","-2.3309326171875","-1.9925395250320435"
"87","-2.5701306462287903","-2.653186798095703","-2.492405414581299","-2.1368522346019745","-2.2719650268554688","-1.9610482454299927"
"88","-2.523592472076416","-2.685281991958618","-2.4520111083984375","-2.0996871888637543","-2.2496109008789062","-1.9405819177627563"
"89","-2.4560970067977905","-2.5476036071777344","-2.3801631927490234","-2.0691837668418884","-2.218561887741089","-1.9442269802093506"
"90","-2.4940052032470703","-2.6965105533599854","-2.3124752044677734","-2.0353960394859314","-2.183006763458252","-1.8452166318893433"
"91","-2.6243327856063843","-2.690286159515381","-2.5310468673706055","-2.0027446150779724","-2.1367290019989014","-1.7820937633514404"
"92","-2.479392409324646","-2.547325849533081","-2.422084093093872","-2.038933366537094","-2.190220594406128","-1.742622971534729"
"93","-2.45900297164917","-2.6544342041015625","-2.326711893081665","-2.0212568044662476","-2.179011583328247","-1.705742597579956"
"94","-2.5242567658424377","-2.6758153438568115","-2.4190127849578857","-2.004899889230728","-2.167254686355591","-1.681191086769104"
"95","-2.5449864268302917","-2.5922045707702637","-2.4897046089172363","-1.9868445098400116","-2.157017707824707","-1.656403660774231"
"96","-2.4523372054100037","-2.5524537563323975","-2.3052585124969482","-1.93341526389122","-2.0880239009857178","-1.6291762590408325"
"97","-2.459117889404297","-2.5894176959991455","-2.214884042739868","-1.953346699476242","-2.2403876781463623","-1.5959720611572266"
"98","-2.5279616117477417","-2.62528657913208","-2.473188877105713","-1.941896915435791","-2.2699294090270996","-1.5653051137924194"
"99","-2.530037999153137","-2.550053596496582","-2.500661849975586","-1.8753500580787659","-2.1084647178649902","-1.5429857969284058"
"100","-2.478869915008545","-2.5895071029663086","-2.281723976135254","-1.9061053395271301","-2.1257340908050537","-1.5274314880371094"
