"Step","Group: reinforce-predict-repair - Mean Cost","Group: reinforce-predict-repair - Mean Cost__MIN","Group: reinforce-predict-repair - Mean Cost__MAX","Group: mala-predict-repair - Mean Cost","Group: mala-predict-repair - Mean Cost__MIN","Group: mala-predict-repair - Mean Cost__MAX","Group: gd-predict-repair - Mean Cost","Group: gd-predict-repair - Mean Cost__MIN","Group: gd-predict-repair - Mean Cost__MAX","Group: rmh-predict-repair - Mean Cost","Group: rmh-predict-repair - Mean Cost__MIN","Group: rmh-predict-repair - Mean Cost__MAX","Group: gd-repair - Mean Cost","Group: gd-repair - Mean Cost__MIN","Group: gd-repair - Mean Cost__MAX"
"0","10.683333396911621","9.89674186706543","11.486953735351562","10.683333396911621","9.89674186706543","11.486953735351562","10.683333396911621","9.89674186706543","11.486953735351562","10.683333396911621","9.89674186706543","11.486953735351562","10.683333396911621","9.89674186706543","11.486953735351562"
"1","10.683333396911621","9.89674186706543","11.486953735351562","10.696203231811523","9.648643493652344","12.15450668334961","10.683333396911621","9.89674186706543","11.486953735351562","10.696203231811523","9.648643493652344","12.15450668334961","10.683333396911621","9.89674186706543","11.486953735351562"
"2","10.560237646102905","9.735861778259277","11.448417663574219","9.56105351448059","8.938969612121582","10.132184028625488","10.653554439544678","9.666301727294922","11.469897270202637","9.45019006729126","8.97754955291748","10.209853172302246","10.518976926803589","9.666409492492676","11.485916137695312"
"3","10.57349967956543","9.73577880859375","11.501604080200195","9.242141008377075","8.913735389709473","9.451334953308105","10.769816875457764","9.542076110839844","11.866455078125","8.99521255493164","8.637805938720703","9.378789901733398","10.419201135635376","9.54023551940918","11.387202262878418"
"4","10.573364496231079","9.73546028137207","11.501665115356445","9.004520654678345","8.402642250061035","10.101367950439453","10.649259805679321","9.393101692199707","11.432371139526367","9.067959070205688","8.419734954833984","9.947704315185547","10.70989203453064","9.383426666259766","11.74146556854248"
"5","10.573315620422363","9.735233306884766","11.501640319824219","8.641736507415771","8.004934310913086","8.962858200073242","10.639016151428223","9.158520698547363","11.876422882080078","9.011399030685425","8.715045928955078","9.475500106811523","10.659598112106323","9.135294914245605","11.844164848327637"
"6","10.57335615158081","9.735469818115234","11.501626968383789","8.381956815719604","7.729096412658691","8.978158950805664","10.187572479248047","8.966774940490723","11.294867515563965","8.783666968345642","7.996616840362549","9.540019035339355","10.000247955322266","9.054081916809082","11.003043174743652"
"7","10.572924137115479","9.734187126159668","11.501693725585938","8.077872157096863","6.811975002288818","8.841617584228516","4896.589983224869","8.89980697631836","19556.1484375","11.240261316299438","7.068422794342041","21.39024543762207","9.828343152999878","9.033449172973633","10.876826286315918"
"8","10.573339223861694","9.733834266662598","11.501688003540039","7.743975400924683","7.491281509399414","8.054375648498535","9.996330976486206","8.804300308227539","11.102130889892578","7.900965929031372","7.068422794342041","8.547080039978027","9.871501445770264","8.9400634765625","10.929580688476562"
"9","10.57310938835144","9.733236312866211","11.501569747924805","7.589135408401489","6.98521089553833","8.038426399230957","9.800683498382568","8.633708000183105","10.857595443725586","7.500218510627747","6.938876628875732","7.755540370941162","10.335442304611206","8.78282356262207","12.82961368560791"
"10","10.572562217712402","9.731757164001465","11.50146198272705","7.377781510353088","6.829131126403809","7.768168926239014","10.386763334274292","8.851736068725586","11.720556259155273","7.316303014755249","7.076913833618164","7.479732513427734","9.450037956237793","8.589193344116211","10.421069145202637"
"11","10.572215795516968","9.731656074523926","11.50145149230957","7.332115530967712","6.671131610870361","7.680814743041992","9.594138622283936","8.544775009155273","10.814013481140137","7.233666896820068","7.013319969177246","7.510634422302246","8.868419885635376","8.391778945922852","9.585262298583984"
"12","10.571932077407837","9.73151683807373","11.501442909240723","7.202401041984558","6.184693336486816","7.825784683227539","9.692275762557983","8.601079940795898","11.095437049865723","8.287102103233337","7.105109691619873","11.148576736450195","8.531542778015137","8.206619262695312","9.18643569946289"
"13","10.571559190750122","9.730573654174805","11.501479148864746","7.459296703338623","6.698124885559082","7.910743236541748","9.901479959487915","8.27953815460205","11.26323413848877","7.0894728899002075","6.558353900909424","7.590203285217285","8.376857995986938","8.01486873626709","8.845368385314941"
"14","10.57231068611145","9.733980178833008","11.501508712768555","7.283028483390808","7.014782428741455","7.690953254699707","9.39609169960022","8.116228103637695","10.95721435546875","6.7254722118377686","5.889930248260498","7.231069087982178","8.768290638923645","7.704448223114014","10.719457626342773"
"15","10.571614027023315","9.73180103302002","11.501501083374023","7.439580917358398","6.766926288604736","7.895899295806885","12.191614508628845","7.97491979598999","20.7530517578125","6.749887108802795","5.829819202423096","7.950668811798096","9.566250681877136","7.520687580108643","14.40151596069336"
"16","10.571357488632202","9.731511116027832","11.501458168029785","6.909677028656006","6.425617694854736","7.452375888824463","54.0679817199707","8.231069564819336","188.22691345214844","7.098326563835144","6.019198417663574","8.615022659301758","7.961205959320068","7.36467981338501","8.43311882019043"
"17","10.570485353469849","9.728106498718262","11.501527786254883","6.715612292289734","6.13613748550415","7.162553787231445","1496.7673377990723","7.981925010681152","5959.57275390625","6.629372239112854","5.905082702636719","7.3583807945251465","7.6244425773620605","7.196512222290039","8.21823787689209"
"18","10.570220232009888","9.727398872375488","11.501547813415527","6.65472149848938","5.927711009979248","7.273118495941162","9.233130693435669","7.591054916381836","10.728290557861328","6.510461807250977","5.643164157867432","7.292786598205566","7.856476068496704","6.9927802085876465","9.251266479492188"
