"Step","Group: rmh-predict-repair - Mean Cost","Group: rmh-predict-repair - Mean Cost__MIN","Group: rmh-predict-repair - Mean Cost__MAX","Group: mala-predict-repair - Mean Cost","Group: mala-predict-repair - Mean Cost__MIN","Group: mala-predict-repair - Mean Cost__MAX"
"0","109.37127876281738","106.44161987304688","111.18936920166016","109.37127876281738","106.44161987304688","111.18936920166016"
"1","94.36152648925781","62.47662353515625","108.6705322265625","74.88883590698242","39.130889892578125","108.4085922241211"
"2","81.02532863616943","33.04073715209961","108.73796844482422","54.44962930679321","20.50737190246582","99.88341522216797"
"3","69.37193489074707","33.04073715209961","107.97349548339844","54.44962930679321","20.50737190246582","99.88341522216797"
"4","67.48439311981201","26.359291076660156","107.84125518798828","41.60559606552124","20.50737190246582","58.27684020996094"
"5","61.23709011077881","23.013275146484375","107.67056274414062","41.60559606552124","20.50737190246582","58.27684020996094"
"6","58.37702512741089","22.7235050201416","107.58885192871094","42.60121297836304","20.50737190246582","58.27684020996094"
"7","56.707955837249756","22.078203201293945","107.65040588378906","35.73344850540161","20.50737190246582","58.27684020996094"
"8","56.28855228424072","25.127138137817383","106.91437530517578","35.73344850540161","20.50737190246582","58.27684020996094"
"9","48.64336538314819","22.09040069580078","107.34646606445312","34.194045305252075","14.349759101867676","58.27684020996094"
"10","44.971858501434326","21.417362213134766","107.98031616210938","34.194045305252075","14.349759101867676","58.27684020996094"
"11","45.22277069091797","16.298236846923828","107.79859161376953","42.91209435462952","14.53579044342041","92.96300506591797"
"12","43.272331953048706","12.311524391174316","107.50823974609375","42.84488105773926","14.69525146484375","96.51715850830078"
"13","43.44089937210083","13.116378784179688","107.37765502929688","43.86291766166687","14.784930229187012","96.51715850830078"
"14","42.504417419433594","12.17750358581543","108.25994110107422","43.92876386642456","15.048315048217773","96.51715850830078"
"15","42.667447090148926","12.17750358581543","108.66249084472656","27.3511803150177","15.022896766662598","39.130889892578125"
"16","41.234885931015015","12.397299766540527","107.95242309570312","27.382369995117188","15.147655487060547","39.130889892578125"
"17","40.64070677757263","12.397299766540527","106.39048767089844","25.908037424087524","14.854968070983887","39.130889892578125"
"18","40.430381536483765","11.905396461486816","105.76344299316406","25.822346687316895","14.512205123901367","39.130889892578125"
"19","40.48694062232971","11.905396461486816","105.82115173339844","21.709147930145264","11.870348930358887","39.130889892578125"
"20","40.42607045173645","11.905396461486816","105.42684173583984","21.539892435073853","11.870348930358887","39.130889892578125"
"21","40.879518032073975","12.943775177001953","106.04573822021484","22.491485834121704","11.870348930358887","43.11335754394531"
"22","38.50420045852661","11.88238525390625","96.30999755859375","21.632392644882202","11.870348930358887","39.130889892578125"
"23","38.34104251861572","11.83259391784668","95.93687438964844","21.696796655654907","11.870348930358887","39.130889892578125"
"24","40.81974983215332","12.038278579711914","105.7206039428711","21.77993941307068","11.870348930358887","39.130889892578125"
"25","37.62614917755127","11.639585494995117","93.3837890625","21.877127647399902","11.870348930358887","39.130889892578125"
"26","34.46885919570923","11.37037467956543","82.03433227539062","22.092408418655396","11.870348930358887","39.130889892578125"
"27","32.55843782424927","10.946073532104492","75.16864013671875","22.14944624900818","11.870348930358887","39.130889892578125"
"28","32.4494264125824","10.728070259094238","75.16864013671875","22.210931062698364","11.870348930358887","39.130889892578125"
"29","27.99794888496399","10.308960914611816","57.6877326965332","22.113213777542114","11.870348930358887","39.130889892578125"
"30","25.203593730926514","10.414754867553711","46.58243942260742","22.121739149093628","11.870348930358887","39.130889892578125"
"31","24.934253692626953","10.165990829467773","44.03391647338867","22.53001046180725","11.827485084533691","40.86107635498047"
"32","24.4156231880188","10.046436309814453","44.03391647338867","22.676178693771362","11.97752857208252","40.86107635498047"
"33","22.833275079727173","9.90925121307373","37.7668342590332","22.73328733444214","12.04265022277832","40.86107635498047"
"34","20.572386503219604","9.393784523010254","37.7668342590332","22.808521032333374","11.905348777770996","40.86107635498047"
"35","21.9683256149292","9.813131332397461","43.27898406982422","22.68302607536316","11.746657371520996","40.86107635498047"
"36","26.33378028869629","9.408863067626953","53.39525604248047","22.81163191795349","12.115605354309082","40.86107635498047"
"37","26.237910270690918","9.86854362487793","53.39525604248047","22.608161687850952","11.851479530334473","40.86107635498047"
"38","24.85535454750061","10.463788032531738","56.17620849609375","22.666369676589966","12.013258934020996","40.86107635498047"
"39","16.578380823135376","11.566306114196777","21.755571365356445","22.59693145751953","11.735506057739258","40.86107635498047"
"40","16.114609479904175","10.304892539978027","21.755571365356445","22.51826500892639","11.310935020446777","40.86107635498047"
"41","15.89964485168457","9.69978141784668","19.819881439208984","22.50599765777588","11.191360473632812","40.86107635498047"
"42","14.998634815216064","9.522127151489258","18.62684440612793","22.659312963485718","11.3748140335083","40.86107635498047"
"43","15.931070327758789","9.678010940551758","19.79843521118164","22.360370635986328","11.116010665893555","40.86107635498047"
"44","14.165763139724731","9.678010940551758","19.469709396362305","22.538973569869995","11.264138221740723","40.86107635498047"
"45","14.27522325515747","9.788990020751953","19.8004093170166","21.960651874542236","11.090837478637695","40.86107635498047"
"46","14.193666219711304","9.609842300415039","20.0505313873291","17.731990575790405","11.016627311706543","27.144899368286133"
"47","14.081497192382812","10.033846855163574","20.137271881103516","15.370360612869263","10.940756797790527","19.411319732666016"
"48","15.698151588439941","10.25360107421875","20.35342788696289","14.28788685798645","10.865595817565918","19.348669052124023"
"49","15.541316032409668","10.049314498901367","20.42842674255371","14.206517934799194","10.79102611541748","19.28680419921875"
"50","15.232727527618408","10.400205612182617","20.651044845581055","14.127731800079346","10.71699047088623","19.218976974487305"
