"Step","Group: mala-predict-repair - Mean Cost","Group: mala-predict-repair - Mean Cost__MIN","Group: mala-predict-repair - Mean Cost__MAX","Group: rmh-predict-repair - Mean Cost","Group: rmh-predict-repair - Mean Cost__MIN","Group: rmh-predict-repair - Mean Cost__MAX"
"0","97.89128017425537","59.37018966674805","111.49187469482422","97.89128017425537","59.37018966674805","111.49187469482422"
"1","53.32765817642212","28.26523780822754","93.21517181396484","46.4855637550354","25.722944259643555","76.83235931396484"
"2","43.839186668395996","20.055171966552734","89.89952850341797","42.25285530090332","13.457443237304688","76.83235931396484"
"3","42.689616203308105","17.35153579711914","89.89952850341797","36.879414081573486","15.653287887573242","68.85093688964844"
"4","43.487534046173096","17.227563858032227","93.21517181396484","35.36547565460205","12.66551399230957","68.85093688964844"
"5","41.46550369262695","19.289878845214844","83.06473541259766","25.840372562408447","12.846725463867188","37.40538787841797"
"6","41.46550369262695","19.289878845214844","83.06473541259766","23.373812198638916","13.174240112304688","35.93286895751953"
"7","36.93340349197388","17.890077590942383","66.33613586425781","20.891550302505493","12.936848640441895","36.66649627685547"
"8","37.112407207489014","16.71144676208496","66.33613586425781","19.376577615737915","12.230727195739746","28.61460304260254"
"9","26.924289226531982","16.312788009643555","34.42091369628906","18.900758981704712","11.792012214660645","27.00531768798828"
"10","23.959452390670776","14.12297534942627","34.42091369628906","16.517441034317017","12.043646812438965","18.418983459472656"
"11","23.572378158569336","12.574678421020508","34.42091369628906","15.636313199996948","11.813328742980957","19.69703483581543"
"12","23.788673162460327","13.221808433532715","34.42091369628906","14.439537763595581","11.813328742980957","16.915504455566406"
"13","19.076740026474","10.524275779724121","26.047163009643555","14.325987100601196","12.128158569335938","16.873035430908203"
"14","19.19180941581726","10.984553337097168","26.047163009643555","14.609411239624023","11.539441108703613","18.595449447631836"
"15","19.297513484954834","11.172456741333008","26.047163009643555","14.248530149459839","11.091711044311523","17.205785751342773"
"16","19.04523468017578","10.714035034179688","26.047163009643555","14.298663139343262","11.66026782989502","16.49589729309082"
"17","17.16867685317993","10.652658462524414","23.480255126953125","14.622840166091919","11.087337493896484","17.88592529296875"
"18","16.97467279434204","10.62954044342041","23.480255126953125","14.043194770812988","11.29240894317627","17.587270736694336"
"19","17.036652326583862","10.520841598510742","23.480255126953125","14.142732858657837","11.523298263549805","18.54778480529785"
"20","16.020891189575195","9.378897666931152","23.480255126953125","14.607832670211792","12.437933921813965","18.54778480529785"
"21","15.740837097167969","9.146032333374023","23.480255126953125","13.95505166053772","11.88707447052002","18.475505828857422"
"22","17.634249687194824","9.82761001586914","23.480255126953125","12.895071506500244","11.99339485168457","13.636720657348633"
"23","17.450650215148926","9.595930099487305","23.480255126953125","14.30176043510437","12.03365707397461","17.872800827026367"
"24","15.348203897476196","9.750178337097168","18.88461685180664","13.093585729598999","11.821752548217773","14.877609252929688"
"25","15.457821369171143","9.80140495300293","19.085575103759766","12.993717432022095","11.762621879577637","14.146879196166992"
"26","15.002781867980957","9.805840492248535","19.085575103759766","12.955881357192993","12.110355377197266","13.624382972717285"
"27","15.249930620193481","10.360732078552246","19.085575103759766","12.485708713531494","11.741070747375488","13.545742988586426"
"28","15.743722677230835","11.137385368347168","18.560388565063477","12.395520448684692","11.685138702392578","13.056779861450195"
"29","14.593596458435059","10.17675495147705","16.997535705566406","12.138880729675293","11.40829086303711","13.508344650268555"
"30","14.968437671661377","10.021201133728027","18.405969619750977","12.049726009368896","11.40829086303711","12.966950416564941"
"31","14.420165061950684","9.604541778564453","16.997535705566406","12.22358512878418","11.689703941345215","12.966950416564941"
"32","14.453333139419556","10.353156089782715","16.997535705566406","12.374407529830933","11.510892868041992","13.578436851501465"
"33","14.918273448944092","10.430451393127441","16.997535705566406","12.13568925857544","11.240973472595215","13.30016040802002"
"34","15.014153003692627","10.16530990600586","16.997535705566406","12.144677639007568","11.90827465057373","12.735824584960938"
"35","14.773313522338867","9.750923156738281","16.997535705566406","11.761899709701538","11.066951751708984","12.735824584960938"
"36","16.131688356399536","9.768705368041992","23.480255126953125","11.670624494552612","10.782304763793945","12.735824584960938"
"37","16.344788789749146","10.527524948120117","23.480255126953125","11.892290353775024","11.006232261657715","13.308449745178223"
"38","14.60230278968811","10.569995880126953","16.997535705566406","11.712769269943237","10.909860610961914","12.533726692199707"
"39","13.80362057685852","10.112143516540527","17.116044998168945","11.840689897537231","10.841148376464844","12.747245788574219"
"40","13.978726625442505","9.808565139770508","18.05097198486328","11.333780765533447","10.741147994995117","12.208109855651855"
"41","13.252593278884888","9.69349193572998","17.724336624145508","10.9723060131073","10.398268699645996","11.705788612365723"
"42","13.501593112945557","9.87574291229248","19.163516998291016","11.157030820846558","10.416577339172363","11.810486793518066"
"43","14.028226613998413","10.06192398071289","20.87875747680664","11.251989126205444","10.63284969329834","11.926352500915527"
"44","13.315864562988281","10.248723030090332","18.95267105102539","10.990734577178955","10.56302261352539","11.44356632232666"
"45","12.810792207717896","10.079001426696777","17.55615997314453","11.146445512771606","9.890263557434082","12.053800582885742"
"46","12.49199366569519","10.034303665161133","16.930387496948242","10.961177110671997","10.011174201965332","11.666337966918945"
"47","12.20310640335083","9.98587417602539","16.311506271362305","11.517566919326782","10.337410926818848","13.93067455291748"
"48","11.366745471954346","9.818329811096191","13.402533531188965","11.352879047393799","10.087122917175293","13.685197830200195"
"49","11.174262285232544","9.62784194946289","12.986795425415039","11.456982135772705","10.41421890258789","13.590892791748047"
"50","10.99831748008728","9.509798049926758","12.560992240905762","10.833089590072632","10.543244361877441","11.200807571411133"
